inventory_id,warehouse_id,product_id,inventory_date,quantity_on_hand,reserved_quantity,reorder_level
INV00000930,WH002,PROD00148,2026-07-23,2626,132,177
INV00000931,WH002,PROD00283,2026-04-15,1147,409,192
INV00000932,WH002,PROD00421,2025-07-10,3132,120,131
INV00000933,WH002,PROD00172,2025-09-29,2848,130,169
INV00000934,WH002,PROD00405,2025-06-26,953,206,151
INV00000935,WH002,PROD00476,2025-05-21,4249,207,173
INV00000936,WH002,PROD00123,2025-03-07,0,488,178
INV00000937,WH002,PROD00150,2025-12-01,1327,443,80
INV00000938,WH002,PROD00030,2025-04-07,3078,210,167
INV00000939,WH002,PROD00264,2025-01-08,3122,490,58
INV00000940,WH002,PROD00438,2026-04-08,360,398,192
INV00000941,WH002,PROD00352,2025-02-25,2141,450,26
INV00000942,WH002,PROD00235,2026-04-03,848,471,95
INV00000943,WH002,PROD00311,2026-08-13,0,360,128
INV00000944,WH002,PROD00219,2026-07-25,1343,205,116
INV00000945,WH002,PROD00300,2026-05-18,3379,155,150
INV00000946,WH002,PROD00154,2025-07-26,2352,294,73
INV00000947,WH002,PROD00049,2026-04-20,4438,381,131
INV00000948,WH002,PROD00232,2025-11-18,1934,383,61
INV00000949,WH002,PROD00002,2025-12-23,1737,256,150
INV00000950,WH002,PROD00102,2025-07-21,712,319,107
INV00000951,WH002,PROD00410,2025-06-02,4426,460,77
INV00000952,WH002,PROD00166,2026-05-24,4261,499,105
INV00000953,WH002,PROD00146,2025-08-20,1208,378,140
INV00000954,WH002,PROD00425,2026-01-08,4048,327,44
INV00000955,WH002,PROD00016,2026-07-12,4674,148,95
INV00000956,WH002,PROD00179,2025-03-07,1650,384,19
INV00000957,WH002,PROD00126,2026-01-01,4206,458,189
INV00000958,WH002,PROD00406,2025-08-15,2159,131,135
INV00000959,WH002,PROD00143,2025-01-04,3739,41,156
INV00000960,WH002,PROD00359,2025-03-30,1308,77,19
INV00000961,WH002,PROD00370,2025-07-01,1043,415,198
INV00000962,WH002,PROD00332,2026-03-16,4753,306,197
INV00000963,WH002,PROD00231,2025-12-20,517,350,45
INV00000964,WH002,PROD00271,2025-07-29,1172,10,197
INV00000965,WH002,PROD00432,2026-01-24,147,300,191
INV00000966,WH002,PROD00426,2025-05-29,3648,174,126
INV00000967,WH002,PROD00376,2025-01-03,1281,44,25
INV00000968,WH002,PROD00038,2026-07-18,1566,225,150
INV00000969,WH002,PROD00011,2025-04-22,1647,462,154
INV00000970,WH002,PROD00366,2026-04-12,4636,463,36
INV00000971,WH002,PROD00391,2026-02-18,899,328,92
INV00000972,WH002,PROD00133,2025-11-20,4007,197,152
INV00000973,WH002,PROD00095,2025-12-07,151,125,134
INV00000974,WH002,PROD00285,2026-05-28,4540,20,98
INV00000975,WH002,PROD00192,2025-08-09,3539,215,44
INV00000976,WH002,PROD00360,2026-05-22,1941,103,29
INV00000977,WH002,PROD00392,2026-03-04,4868,465,144
INV00000978,WH002,PROD00249,2025-06-16,897,402,148
INV00000979,WH002,PROD00252,2025-09-11,1041,364,67
INV00000980,WH002,PROD00490,2025-10-23,4903,356,146
INV00000981,WH002,PROD00036,2026-06-20,3908,486,22
INV00000982,WH002,PROD00195,2026-08-07,1315,279,136
INV00000983,WH002,PROD00022,2025-02-15,4756,250,66
INV00000984,WH002,PROD00469,2025-01-07,336,44,90
INV00000985,WH002,PROD00256,2026-06-27,2546,130,24
INV00000986,WH002,PROD00268,2025-11-15,275,213,62
INV00000987,WH002,PROD00262,2026-07-23,2550,151,44
INV00000988,WH002,PROD00033,2025-04-28,461,305,70
INV00000989,WH002,PROD00004,2025-10-20,4367,375,10
INV00000990,WH002,PROD00453,2026-08-13,15,118,19
INV00000991,WH002,PROD00395,2026-07-08,1446,92,160
INV00000992,WH002,PROD00281,2025-11-26,382,215,68
INV00000993,WH002,PROD00105,2026-06-03,1698,208,184
INV00000994,WH002,PROD00314,2026-07-04,729,379,127
INV00000995,WH002,PROD00130,2026-05-26,4038,195,115
INV00000996,WH002,PROD00135,2026-02-28,4994,425,199
INV00000997,WH002,PROD00462,2025-06-01,454,144,84
INV00000998,WH002,PROD00427,2026-04-09,1813,342,41
INV00000999,WH002,PROD00448,2025-07-10,3360,337,145
INV00001000,WH002,PROD00269,2026-06-26,2023,474,76
INV00001001,WH003,PROD00081,2025-06-12,3274,239,113
INV00001002,WH003,PROD00201,2025-03-31,1716,340,138
INV00001003,WH003,PROD00436,2026-04-19,2853,291,163
INV00001004,WH003,PROD00377,2025-02-01,1892,281,31
INV00001005,WH003,PROD00440,2025-04-27,3974,16,56
INV00001006,WH003,PROD00434,2025-05-24,199,454,162
INV00001007,WH003,PROD00063,2025-11-02,1428,316,144
INV00001008,WH003,PROD00169,2026-02-12,3316,8,17
INV00001009,WH003,PROD00486,2025-09-30,1189,239,44
INV00001010,WH003,PROD00067,2026-01-31,3767,125,185
INV00001011,WH003,PROD00147,2025-07-24,4236,309,175
INV00001012,WH003,PROD00293,2026-07-26,2474,495,72
INV00001013,WH003,PROD00202,2025-07-01,0,113,96
INV00001014,WH003,PROD00339,2025-03-21,4594,222,184
INV00001015,WH003,PROD00163,2025-10-08,983,73,166
INV00001016,WH003,PROD00120,2025-01-30,4129,255,16
INV00001017,WH003,PROD00497,2025-04-22,3219,299,85
INV00001018,WH003,PROD00119,2025-05-12,2600,153,47
INV00001019,WH003,PROD00175,2025-06-12,198,451,139
INV00001020,WH003,PROD00429,2026-06-22,4966,256,22
INV00001021,WH003,PROD00365,2025-06-27,3331,57,187
INV00001022,WH003,PROD00200,2026-06-02,1380,67,30
INV00001023,WH003,PROD00387,2025-09-18,2917,429,54
INV00001024,WH003,PROD00248,2026-01-28,4964,472,111
INV00001025,WH003,PROD00094,2025-12-24,500,231,176
INV00001026,WH003,PROD00359,2025-08-02,984,269,19
INV00001027,WH003,PROD00199,2025-11-05,805,128,87
INV00001028,WH003,PROD00042,2026-06-24,4817,92,159
INV00001029,WH003,PROD00328,2026-05-18,564,380,183
INV00001030,WH003,PROD00220,2025-12-21,723,18,68
INV00001031,WH003,PROD00381,2026-05-23,2245,275,175
INV00001032,WH003,PROD00398,2025-02-17,2412,141,52
INV00001033,WH003,PROD00277,2025-05-13,4461,83,100
INV00001034,WH003,PROD00430,2026-01-28,1093,470,176
INV00001035,WH003,PROD00280,2025-10-26,2731,438,137
INV00001036,WH003,PROD00366,2026-05-25,2408,346,36
INV00001037,WH003,PROD00142,2025-01-04,4367,117,199
INV00001038,WH003,PROD00270,2025-03-06,2044,394,137
INV00001039,WH003,PROD00333,2026-05-07,2206,443,119
INV00001040,WH003,PROD00136,2026-01-22,3061,305,89
INV00001041,WH003,PROD00343,2026-06-03,815,88,167
INV00001042,WH003,PROD00413,2026-02-03,2661,413,192
INV00001043,WH003,PROD00109,2026-03-22,1492,145,111
INV00001044,WH003,PROD00399,2026-04-07,4589,462,75
INV00001045,WH003,PROD00085,2025-05-20,0,225,40
INV00001046,WH003,PROD00331,2025-11-20,1307,233,141
INV00001047,WH003,PROD00369,2025-06-28,1355,28,121
INV00001048,WH003,PROD00431,2025-08-31,4001,216,43
INV00001049,WH003,PROD00439,2026-04-27,115,397,53
INV00001050,WH003,PROD00319,2025-02-15,2408,370,168
INV00001051,WH003,PROD00357,2025-01-03,242,110,50
INV00001052,WH003,PROD00096,2026-05-20,2716,114,33
INV00001053,WH003,PROD00348,2026-02-18,2487,17,149
INV00001054,WH003,PROD00206,2025-09-04,2986,348,98
INV00001055,WH003,PROD00422,2026-07-02,957,349,135
INV00001056,WH003,PROD00164,2026-06-07,1252,264,59
INV00001057,WH003,PROD00160,2026-07-30,4739,114,97
INV00001058,WH003,PROD00249,2025-02-08,1169,53,148
INV00001059,WH003,PROD00117,2025-05-18,2493,380,126
INV00001060,WH003,PROD00192,2025-11-29,746,464,44
INV00001061,WH003,PROD00349,2026-02-10,153,267,25
INV00001062,WH003,PROD00409,2025-12-28,4846,1,109
INV00001063,WH003,PROD00231,2025-04-11,4719,459,45
INV00001064,WH003,PROD00445,2025-10-18,3126,250,90
INV00001065,WH003,PROD00091,2026-02-19,80,306,131
INV00001066,WH003,PROD00100,2025-12-28,3986,167,129
INV00001067,WH003,PROD00259,2025-10-21,3370,205,119
INV00001068,WH003,PROD00153,2025-10-18,3243,488,25
INV00001069,WH003,PROD00127,2025-03-10,1815,63,126
INV00001070,WH003,PROD00271,2026-04-18,145,200,197
INV00001071,WH003,PROD00132,2025-06-25,1476,29,81
INV00001072,WH003,PROD00266,2025-01-19,3334,288,151
INV00001073,WH003,PROD00411,2025-12-02,1290,257,181
INV00001074,WH003,PROD00470,2026-06-25,3851,268,142
INV00001075,WH003,PROD00395,2025-02-21,1337,324,160
INV00001076,WH003,PROD00495,2025-03-30,4052,2,151
INV00001077,WH003,PROD00227,2025-06-25,2973,456,41
INV00001078,WH003,PROD00149,2025-11-06,272,446,154
INV00001079,WH003,PROD00370,2025-01-14,1816,61,198
INV00001080,WH003,PROD00316,2026-06-12,4653,143,86
INV00001081,WH003,PROD00151,2025-07-27,1518,129,83
INV00001082,WH003,PROD00247,2025-08-10,0,232,141
INV00001083,WH003,PROD00451,2025-11-11,1458,265,97
INV00001084,WH003,PROD00133,2025-11-17,3418,81,152
INV00001085,WH003,PROD00355,2025-11-21,3735,113,78
INV00001086,WH003,PROD00018,2025-02-21,4219,377,42
INV00001087,WH003,PROD00255,2025-05-01,1007,385,163
INV00001088,WH003,PROD00253,2025-12-02,3160,432,68
INV00001089,WH003,PROD00353,2025-06-16,4428,471,166
INV00001090,WH003,PROD00340,2025-05-05,3888,361,132
INV00001091,WH003,PROD00404,2025-12-06,3595,131,52
INV00001092,WH003,PROD00483,2025-08-05,1093,417,151
INV00001093,WH003,PROD00250,2025-06-16,986,371,174
INV00001094,WH003,PROD00500,2025-03-31,4966,309,167
INV00001095,WH003,PROD00450,2026-02-26,1134,341,86
INV00001096,WH003,PROD00029,2025-06-09,3316,395,151
INV00001097,WH003,PROD00314,2025-11-15,2671,392,127
INV00001098,WH003,PROD00308,2025-11-07,3181,247,196
INV00001099,WH003,PROD00241,2026-05-25,360,206,180
INV00001100,WH003,PROD00211,2026-02-19,860,165,177
INV00001101,WH003,PROD00276,2025-12-27,545,14,55
INV00001102,WH003,PROD00315,2025-05-28,199,164,110
INV00001103,WH003,PROD00354,2026-04-16,138,117,137
INV00001104,WH003,PROD00332,2026-07-10,3848,403,197
INV00001105,WH003,PROD00279,2025-09-24,3472,234,113
INV00001106,WH003,PROD00480,2025-03-04,3801,367,193
INV00001107,WH003,PROD00342,2025-12-29,3969,309,12
INV00001108,WH003,PROD00017,2025-07-27,1387,211,38
INV00001109,WH003,PROD00476,2025-08-14,109,259,173
INV00001110,WH003,PROD00351,2026-01-01,1139,191,62
INV00001111,WH003,PROD00157,2026-01-12,3994,136,95
INV00001112,WH003,PROD00478,2025-04-26,2521,376,103
INV00001113,WH003,PROD00498,2025-12-05,3288,328,20
INV00001114,WH003,PROD00118,2025-08-30,3511,259,42
INV00001115,WH003,PROD00407,2026-03-01,4256,213,132
INV00001116,WH003,PROD00076,2026-01-02,4238,240,120
INV00001117,WH003,PROD00024,2025-08-10,653,324,174
INV00001118,WH003,PROD00251,2025-08-15,4444,105,184
INV00001119,WH003,PROD00264,2025-07-27,809,200,58
INV00001120,WH003,PROD00389,2026-01-07,3900,350,54
INV00001121,WH003,PROD00075,2025-01-20,3161,205,129
INV00001122,WH003,PROD00326,2025-09-24,3148,475,52
INV00001123,WH003,PROD00448,2025-12-03,1105,289,145
INV00001124,WH003,PROD00496,2025-09-17,3268,300,172
INV00001125,WH003,PROD00041,2026-06-10,4015,355,116
INV00001126,WH003,PROD00003,2025-02-27,2782,11,52
INV00001127,WH003,PROD00447,2025-09-03,644,335,132
INV00001128,WH003,PROD00089,2026-01-10,1763,54,133
INV00001129,WH003,PROD00379,2026-07-31,0,119,120
INV00001130,WH003,PROD00390,2025-03-08,347,390,10
INV00001131,WH003,PROD00070,2026-04-25,0,200,35
INV00001132,WH003,PROD00364,2025-05-16,1185,9,149
INV00001133,WH003,PROD00065,2026-05-30,198,126,173
INV00001134,WH003,PROD00298,2025-05-03,1630,253,111
INV00001135,WH003,PROD00088,2025-02-26,1219,13,82
INV00001136,WH003,PROD00111,2025-08-09,2163,427,130
INV00001137,WH003,PROD00295,2026-02-03,2239,395,73
INV00001138,WH003,PROD00134,2026-04-07,2901,30,96
INV00001139,WH003,PROD00047,2025-04-08,441,169,117
INV00001140,WH003,PROD00303,2025-03-09,2279,39,187
INV00001141,WH003,PROD00494,2026-01-21,138,236,180
INV00001142,WH003,PROD00380,2025-12-30,3731,4,57
INV00001143,WH003,PROD00378,2025-11-11,657,207,42
INV00001144,WH003,PROD00441,2026-08-08,3578,356,94
INV00001145,WH003,PROD00135,2026-05-04,3438,183,199
INV00001146,WH003,PROD00080,2025-04-28,3676,493,179
INV00001147,WH003,PROD00341,2026-03-12,1027,12,86
INV00001148,WH003,PROD00016,2025-12-01,4957,96,95
INV00001149,WH003,PROD00312,2026-03-15,4644,219,167
INV00001150,WH003,PROD00417,2026-06-09,26,412,80
INV00001151,WH003,PROD00162,2025-06-26,3352,323,187
INV00001152,WH003,PROD00317,2025-02-23,1842,163,46
INV00001153,WH003,PROD00373,2026-07-25,3500,90,185
INV00001154,WH003,PROD00068,2026-04-13,2327,481,40
INV00001155,WH003,PROD00006,2025-08-21,4318,428,25
INV00001156,WH003,PROD00286,2026-06-05,940,227,162
INV00001157,WH003,PROD00382,2025-12-11,4140,63,45
INV00001158,WH003,PROD00056,2026-05-14,4122,408,32
INV00001159,WH003,PROD00217,2026-01-03,4525,4,166
INV00001160,WH003,PROD00130,2026-03-09,404,436,115
INV00001161,WH003,PROD00296,2026-02-02,3497,319,111
INV00001162,WH003,PROD00049,2025-11-02,1119,30,131
INV00001163,WH003,PROD00385,2025-03-07,544,453,130
INV00001164,WH003,PROD00426,2026-01-14,1336,123,126
INV00001165,WH003,PROD00335,2026-04-10,3335,194,50
INV00001166,WH003,PROD00051,2026-03-20,4555,370,106
INV00001167,WH003,PROD00475,2025-04-14,2208,80,115
INV00001168,WH003,PROD00040,2026-03-04,226,481,91
INV00001169,WH003,PROD00330,2025-03-25,2153,407,46
INV00001170,WH003,PROD00289,2025-12-17,1002,309,109
INV00001171,WH003,PROD00344,2026-07-06,2266,153,108
INV00001172,WH003,PROD00116,2025-12-18,804,242,185
INV00001173,WH003,PROD00168,2026-02-24,4444,228,16
INV00001174,WH003,PROD00414,2025-01-24,580,67,47
INV00001175,WH003,PROD00208,2025-03-21,121,106,117
INV00001176,WH003,PROD00209,2025-01-14,4069,486,137
INV00001177,WH003,PROD00008,2025-03-17,3240,385,155
INV00001178,WH003,PROD00246,2025-03-12,1680,400,184
INV00001179,WH003,PROD00372,2025-01-29,198,109,101
INV00001180,WH003,PROD00290,2026-07-17,2903,271,79
INV00001181,WH003,PROD00204,2025-07-07,3031,80,87
INV00001182,WH003,PROD00138,2025-07-18,4457,288,65
INV00001183,WH003,PROD00028,2025-06-23,4403,117,179
INV00001184,WH003,PROD00107,2026-02-26,3427,19,103
INV00001185,WH003,PROD00020,2025-09-26,314,151,49
INV00001186,WH003,PROD00073,2025-02-03,3681,334,60
INV00001187,WH003,PROD00154,2025-02-12,613,385,73
INV00001188,WH003,PROD00172,2025-02-07,3846,310,169
INV00001189,WH003,PROD00181,2026-01-19,3803,465,22
INV00001190,WH003,PROD00334,2026-04-03,2809,88,154
INV00001191,WH003,PROD00460,2025-02-17,4155,205,181
INV00001192,WH003,PROD00180,2025-03-12,2293,493,141
INV00001193,WH003,PROD00345,2025-12-20,1769,340,151
INV00001194,WH003,PROD00026,2025-05-20,4382,5,140
INV00001195,WH003,PROD00405,2026-08-08,4678,468,151
INV00001196,WH003,PROD00469,2026-02-08,41,290,90
INV00001197,WH003,PROD00019,2025-06-13,2364,433,63
INV00001198,WH003,PROD00302,2025-03-26,2046,404,106
INV00001199,WH003,PROD00046,2025-12-20,1910,314,93
INV00001200,WH003,PROD00489,2025-06-15,1680,271,100
INV00001201,WH003,PROD00257,2025-09-16,1309,340,163
INV00001202,WH003,PROD00190,2026-06-07,4294,430,16
INV00001203,WH003,PROD00011,2026-03-10,1287,187,154
INV00001204,WH003,PROD00418,2025-05-07,3180,16,47
INV00001205,WH003,PROD00023,2025-01-26,3955,268,178
INV00001206,WH003,PROD00069,2025-03-18,3249,224,123
INV00001207,WH003,PROD00097,2025-10-10,2443,289,24
INV00001208,WH003,PROD00025,2026-02-21,823,228,77
INV00001209,WH003,PROD00182,2025-10-02,934,180,108
INV00001210,WH003,PROD00053,2025-06-10,1833,181,175
INV00001211,WH003,PROD00322,2025-09-28,2973,425,127
INV00001212,WH003,PROD00307,2025-01-13,127,103,48
INV00001213,WH003,PROD00346,2026-08-09,4448,383,85
INV00001214,WH003,PROD00356,2026-06-21,1692,471,157
INV00001215,WH003,PROD00140,2026-01-30,1752,386,64
INV00001216,WH003,PROD00145,2025-07-28,4925,179,144
INV00001217,WH003,PROD00297,2025-01-14,277,192,176
INV00001218,WH003,PROD00360,2025-08-26,4926,213,29
INV00001219,WH003,PROD00166,2025-05-28,4203,166,105
INV00001220,WH003,PROD00329,2025-08-05,2335,462,43
INV00001221,WH003,PROD00396,2026-03-18,4481,190,189
INV00001222,WH003,PROD00444,2025-07-19,1145,78,127
INV00001223,WH003,PROD00323,2025-01-09,3146,350,103
INV00001224,WH003,PROD00338,2026-03-19,4193,210,177
INV00001225,WH003,PROD00443,2026-04-19,3157,333,115
INV00001226,WH003,PROD00045,2025-05-10,1815,7,110
INV00001227,WH003,PROD00362,2025-11-09,3964,161,151
INV00001228,WH003,PROD00237,2026-07-16,2199,248,57
INV00001229,WH003,PROD00079,2026-06-11,4893,333,114
INV00001230,WH003,PROD00137,2025-04-04,1576,208,22
INV00001231,WH003,PROD00203,2026-05-20,3159,453,63
INV00001232,WH003,PROD00472,2025-12-22,11,324,29
INV00001233,WH003,PROD00400,2025-11-22,3722,15,136
INV00001234,WH003,PROD00031,2025-05-16,4196,343,158
INV00001235,WH003,PROD00207,2026-03-15,3452,434,78
INV00001236,WH003,PROD00244,2025-02-25,3628,470,73
INV00001237,WH003,PROD00152,2026-05-12,1068,94,199
INV00001238,WH003,PROD00437,2025-10-02,2364,46,117
INV00001239,WH003,PROD00282,2025-07-12,2644,179,149
INV00001240,WH003,PROD00424,2025-09-29,225,157,142
INV00001241,WH003,PROD00104,2026-01-06,473,71,165
INV00001242,WH003,PROD00368,2025-05-30,4880,246,31
INV00001243,WH003,PROD00294,2025-06-07,319,172,52
INV00001244,WH003,PROD00103,2025-10-09,1331,13,12
INV00001245,WH003,PROD00121,2025-09-02,1823,483,77
INV00001246,WH003,PROD00187,2025-12-09,2470,484,17
INV00001247,WH003,PROD00455,2025-08-30,110,245,189
INV00001248,WH003,PROD00267,2026-04-01,2182,345,141
INV00001249,WH003,PROD00397,2026-07-01,3912,455,154
INV00001250,WH003,PROD00114,2025-05-11,2427,109,188
INV00001251,WH003,PROD00238,2025-11-19,55,465,173
INV00001252,WH003,PROD00191,2026-06-29,389,423,190
INV00001253,WH003,PROD00384,2025-03-27,3421,301,109
INV00001254,WH003,PROD00184,2025-06-30,2249,421,36
INV00001255,WH003,PROD00226,2025-11-17,582,228,86
INV00001256,WH003,PROD00446,2025-05-28,573,465,50
INV00001257,WH003,PROD00393,2026-04-25,772,211,87
INV00001258,WH003,PROD00216,2025-01-01,4794,324,192
INV00001259,WH003,PROD00459,2026-08-01,4823,196,133
INV00001260,WH003,PROD00423,2026-04-01,3516,10,78
INV00001261,WH003,PROD00428,2026-04-06,2423,361,99
INV00001262,WH003,PROD00144,2025-07-08,2318,172,168
INV00001263,WH003,PROD00015,2025-09-29,3338,404,77
INV00001264,WH003,PROD00320,2025-07-03,728,454,139
INV00001265,WH003,PROD00482,2026-05-23,813,262,125
INV00001266,WH003,PROD00178,2025-07-31,1948,60,185
INV00001267,WH003,PROD00463,2026-03-18,4407,364,12
INV00001268,WH003,PROD00050,2026-07-13,337,287,165
INV00001269,WH003,PROD00262,2025-09-10,647,414,44
INV00001270,WH003,PROD00082,2025-01-09,2114,427,137
INV00001271,WH003,PROD00462,2025-01-25,2795,78,84
INV00001272,WH003,PROD00055,2025-05-02,4691,41,147
INV00001273,WH003,PROD00427,2025-02-20,3323,373,41
INV00001274,WH003,PROD00092,2026-07-25,37,416,94
INV00001275,WH003,PROD00481,2025-02-03,1464,232,58
INV00001276,WH003,PROD00038,2025-03-27,2578,413,150
INV00001277,WH003,PROD00375,2026-05-03,594,466,113
INV00001278,WH003,PROD00150,2025-09-03,1356,156,80
INV00001279,WH003,PROD00173,2025-03-16,1906,59,141
INV00001280,WH003,PROD00188,2025-03-06,3333,73,102
INV00001281,WH003,PROD00268,2025-12-16,3758,95,62
INV00001282,WH003,PROD00002,2025-08-18,4665,343,150
INV00001283,WH003,PROD00313,2026-06-20,2169,457,190
INV00001284,WH003,PROD00347,2025-05-04,4812,429,145
INV00001285,WH003,PROD00452,2025-11-13,669,455,67
INV00001286,WH003,PROD00383,2025-03-15,430,274,107
INV00001287,WH003,PROD00477,2025-08-14,3085,260,23
INV00001288,WH003,PROD00176,2025-01-25,3884,94,14
INV00001289,WH003,PROD00059,2026-01-29,1645,223,135
INV00001290,WH003,PROD00327,2025-01-21,1509,21,147
INV00001291,WH003,PROD00403,2026-05-01,2027,21,33
INV00001292,WH003,PROD00490,2026-03-05,3718,31,146
INV00001293,WH003,PROD00235,2025-04-14,116,181,95
INV00001294,WH003,PROD00474,2025-01-21,4658,340,137
INV00001295,WH003,PROD00292,2025-02-04,3564,115,13
INV00001296,WH003,PROD00432,2025-01-17,4591,337,191
INV00001297,WH003,PROD00442,2026-07-31,4810,255,172
INV00001298,WH003,PROD00193,2025-03-10,1097,173,91
INV00001299,WH003,PROD00064,2025-08-16,1566,357,146
INV00001300,WH003,PROD00306,2026-01-02,2284,188,142
INV00001301,WH003,PROD00467,2025-01-07,3382,323,107
INV00001302,WH003,PROD00425,2026-07-17,2937,58,44
INV00001303,WH003,PROD00090,2025-05-10,561,330,188
INV00001304,WH003,PROD00066,2025-10-13,1570,216,23
INV00001305,WH003,PROD00037,2026-03-18,3048,114,162
INV00001306,WH003,PROD00009,2025-04-13,3650,449,143
INV00001307,WH003,PROD00367,2025-08-13,4693,202,33
INV00001308,WH003,PROD00485,2026-05-03,2777,144,108
INV00001309,WH003,PROD00309,2025-03-17,4049,159,131
INV00001310,WH003,PROD00291,2026-03-02,1368,311,36
INV00001311,WH003,PROD00086,2025-10-06,2092,249,72
INV00001312,WH003,PROD00466,2026-01-23,4288,148,50
INV00001313,WH003,PROD00300,2025-09-14,2124,491,150
INV00001314,WH003,PROD00113,2026-01-10,1498,263,39
INV00001315,WH003,PROD00054,2025-03-26,4334,351,127
INV00001316,WH003,PROD00222,2025-01-16,240,311,90
INV00001317,WH003,PROD00155,2025-09-09,2619,69,109
INV00001318,WH003,PROD00131,2026-06-21,498,377,139
INV00001319,WH003,PROD00402,2025-11-30,1173,464,76
INV00001320,WH003,PROD00194,2025-03-11,1437,161,189
INV00001321,WH003,PROD00033,2025-10-18,1478,64,70
INV00001322,WH003,PROD00112,2026-03-17,1547,367,128
INV00001323,WH003,PROD00350,2026-08-12,1198,62,112
INV00001324,WH003,PROD00228,2026-08-12,394,90,192
INV00001325,WH003,PROD00034,2025-02-28,2139,319,28
INV00001326,WH003,PROD00058,2025-10-28,677,135,162
INV00001327,WH003,PROD00005,2025-10-26,2601,448,152
INV00001328,WH003,PROD00186,2025-07-31,1534,289,80
INV00001329,WH003,PROD00239,2026-07-16,3020,446,45
INV00001330,WH003,PROD00043,2025-07-01,2813,191,117
INV00001331,WH003,PROD00198,2025-09-11,506,175,42
INV00001332,WH003,PROD00468,2026-03-07,4752,37,43
INV00001333,WH003,PROD00052,2025-10-21,2280,289,87
INV00001334,WH003,PROD00098,2026-06-15,2286,183,56
INV00001335,WH003,PROD00304,2025-07-26,237,16,31
INV00001336,WH003,PROD00394,2026-05-16,2289,132,176
INV00001337,WH003,PROD00449,2026-08-01,2839,160,89
INV00001338,WH003,PROD00499,2025-01-22,3775,461,129
INV00001339,WH003,PROD00454,2026-05-07,4136,129,177
INV00001340,WH003,PROD00183,2025-02-23,3106,308,31
INV00001341,WH003,PROD00213,2025-10-04,2656,465,151
INV00001342,WH003,PROD00363,2026-07-11,227,263,72
INV00001343,WH003,PROD00012,2026-03-04,1367,354,72
INV00001344,WH003,PROD00087,2025-01-13,2094,200,44
INV00001345,WH003,PROD00044,2025-01-02,1227,200,183
INV00001346,WH003,PROD00273,2026-07-31,4201,54,191
INV00001347,WH003,PROD00125,2026-04-18,2890,84,80
INV00001348,WH003,PROD00225,2025-11-10,4768,330,194
INV00001349,WH003,PROD00027,2026-01-24,3947,235,147
INV00001350,WH003,PROD00242,2025-09-22,3997,166,186
INV00001351,WH003,PROD00072,2025-05-12,2950,453,190
INV00001352,WH003,PROD00236,2026-01-19,3970,382,129
INV00001353,WH003,PROD00453,2026-03-01,3338,311,19
INV00001354,WH003,PROD00464,2026-07-11,3053,407,197
INV00001355,WH003,PROD00416,2025-08-16,4811,354,162
INV00001356,WH003,PROD00128,2025-08-26,4554,371,49
INV00001357,WH003,PROD00484,2025-09-14,934,168,54
INV00001358,WH003,PROD00284,2026-01-01,3792,264,148
INV00001359,WH003,PROD00438,2025-04-04,2019,223,192
INV00001360,WH003,PROD00419,2026-02-19,3538,260,115
INV00001361,WH003,PROD00099,2025-06-08,3801,427,159
INV00001362,WH003,PROD00062,2026-04-12,1070,448,90
INV00001363,WH003,PROD00108,2026-01-27,3349,8,96
INV00001364,WH003,PROD00245,2025-02-28,4212,30,150
INV00001365,WH003,PROD00412,2026-03-29,3095,489,109
INV00001366,WH003,PROD00371,2025-10-07,1220,190,159
INV00001367,WH003,PROD00158,2026-05-18,2763,365,110
INV00001368,WH003,PROD00215,2025-04-19,4111,48,103
INV00001369,WH003,PROD00301,2026-05-16,3351,494,114
INV00001370,WH003,PROD00177,2025-11-24,4008,74,198
INV00001371,WH003,PROD00221,2025-08-13,1849,398,107
INV00001372,WH003,PROD00435,2025-02-14,4024,328,80
INV00001373,WH003,PROD00374,2025-11-05,127,398,73
INV00001374,WH003,PROD00196,2025-05-09,2446,188,32
INV00001375,WH003,PROD00305,2025-03-08,4712,255,183
INV00001376,WH003,PROD00224,2025-08-09,23,29,106
INV00001377,WH003,PROD00458,2025-11-11,603,108,101
INV00001378,WH003,PROD00321,2026-02-16,4626,403,154
INV00001379,WH003,PROD00115,2026-04-30,4730,305,81
INV00001380,WH003,PROD00129,2025-07-01,417,225,105
INV00001381,WH003,PROD00048,2025-07-10,1621,353,27
INV00001382,WH003,PROD00492,2025-02-22,3293,423,186
INV00001383,WH003,PROD00139,2025-10-18,2788,402,180
INV00001384,WH003,PROD00336,2025-11-30,1147,204,176
INV00001385,WH003,PROD00256,2025-06-29,2942,103,24
INV00001386,WH003,PROD00219,2025-10-28,1650,272,116
INV00001387,WH003,PROD00148,2025-01-27,92,243,177
INV00001388,WH003,PROD00122,2025-11-14,1773,313,102
INV00001389,WH003,PROD00406,2025-10-22,32,32,135
INV00001390,WH003,PROD00410,2026-07-27,3854,233,77
INV00001391,WH003,PROD00352,2026-07-31,3602,192,26
INV00001392,WH003,PROD00421,2026-03-26,1882,434,131
INV00001393,WH003,PROD00156,2025-01-01,3255,177,34
INV00001394,WH003,PROD00102,2025-07-25,2318,265,107
INV00001395,WH003,PROD00197,2026-04-10,2055,465,114
INV00001396,WH003,PROD00093,2025-12-11,3725,176,177
INV00001397,WH003,PROD00230,2025-07-13,2632,357,22
